ticket_id,customer_id,created_date,ticket_type,priority,status,resolution_time_hours
66,4310,2025-08-17,Shipping Delay,Medium,Closed,22.9
67,3570,2025-03-10,Refund Request,Low,Resolved,12.1
68,1202,2025-03-29,Account Problem,High,Closed,22.9
69,1814,2025-04-15,Account Problem,Medium,Resolved,2.6
70,241,2024-12-07,Refund Request,Low,Resolved,29.5
71,2022,2025-02-08,General Inquiry,Medium,Resolved,53.1
72,574,2024-09-01,Refund Request,Low,Closed,18.0
73,4204,2025-04-06,Refund Request,Low,In Progress,7.7
74,2690,2025-04-29,General Inquiry,Low,Closed,64.1
75,716,2025-03-31,Refund Request,Low,Resolved,16.0
76,4851,2025-06-28,Account Problem,Low,Closed,13.0
77,2331,2024-08-25,Account Problem,Low,Resolved,3.2
78,3857,2025-01-24,Account Problem,Low,In Progress,11.7
79,77,2025-04-06,Shipping Delay,High,Open,14.7
80,1533,2025-03-28,Refund Request,Medium,Closed,4.9
81,126,2025-05-27,Account Problem,High,Closed,69.4
82,3922,2025-06-01,Product Issue,Low,Resolved,116.4
83,3854,2025-03-17,General Inquiry,High,Resolved,5.9
84,690,2024-09-30,Product Issue,Low,Closed,31.5
85,4749,2025-03-19,Shipping Delay,Low,In Progress,5.2
86,4902,2025-03-24,General Inquiry,Low,Open,18.5
87,2956,2024-10-05,Shipping Delay,Medium,Closed,16.6
88,4809,2024-11-11,General Inquiry,Low,Closed,9.7
89,890,2025-06-19,Shipping Delay,Low,In Progress,2.4
90,2470,2025-07-10,Account Problem,Medium,Resolved,1.7
91,320,2025-02-16,Account Problem,Medium,Closed,17.5
92,4519,2024-09-13,Refund Request,High,In Progress,34.7
93,8,2024-09-09,Account Problem,Low,Closed,21.5
94,4742,2024-11-25,General Inquiry,Low,Closed,61.5
95,464,2024-12-12,General Inquiry,Medium,Closed,21.5
96,4690,2025-03-29,Account Problem,Low,Closed,10.4
97,3865,2024-09-08,Refund Request,Low,Closed,16.7
98,1978,2025-02-25,Account Problem,Medium,Closed,40.4
99,4188,2024-09-23,Refund Request,Low,Closed,30.7
100,2737,2025-04-29,Product Issue,High,Resolved,115.0
101,3062,2024-09-26,Account Problem,High,In Progress,43.6
102,3110,2024-11-11,Account Problem,Low,Closed,14.3
103,1076,2025-04-30,Refund Request,Medium,Closed,32.5
104,375,2025-01-27,Shipping Delay,Low,Resolved,4.1
105,2674,2024-11-23,Product Issue,Low,In Progress,50.8
106,4147,2025-01-28,Product Issue,Critical,Resolved,31.6
107,1062,2025-03-14,Shipping Delay,Low,Resolved,2.8
108,172,2025-04-12,Account Problem,Critical,Resolved,12.9
109,3885,2024-09-06,Refund Request,Low,In Progress,61.6
110,3862,2025-07-23,Shipping Delay,Low,Closed,21.2
111,819,2025-01-13,Product Issue,Low,Closed,31.8
112,4411,2025-05-19,Shipping Delay,Medium,Resolved,10.6
113,2742,2025-03-11,Shipping Delay,Low,Closed,4.5
114,1757,2025-08-01,General Inquiry,Low,Closed,2.6
115,3123,2025-03-09,Refund Request,Medium,Resolved,14.0
116,1405,2025-02-14,Shipping Delay,Low,Closed,17.2
117,4237,2025-03-04,Account Problem,High,Closed,11.9
118,1757,2024-12-16,Refund Request,High,Closed,17.2
119,2349,2025-03-14,Refund Request,Medium,Resolved,28.4
120,1236,2025-08-12,General Inquiry,High,Open,15.5
121,2896,2024-08-26,Refund Request,Medium,Open,58.7
122,771,2024-10-29,Refund Request,Medium,In Progress,4.8
123,4890,2025-04-06,General Inquiry,High,Resolved,21.5
124,1451,2024-09-25,Refund Request,Medium,Closed,3.7
125,4743,2024-10-11,Account Problem,Medium,Closed,17.9
126,4814,2025-04-24,Account Problem,Low,In Progress,4.9
127,3075,2025-06-24,Account Problem,Medium,Closed,3.3
128,910,2025-02-11,Shipping Delay,Medium,Closed,6.3
129,3598,2025-06-22,Account Problem,High,In Progress,22.6
130,4235,2025-07-12,Product Issue,High,In Progress,24.7
131,4921,2025-02-20,Product Issue,High,Resolved,57.0
132,4044,2025-04-13,Product Issue,Low,Closed,1.7
133,4906,2025-06-18,General Inquiry,High,Open,7.5
134,86,2024-08-31,General Inquiry,High,Resolved,40.6
135,3586,2024-12-25,General Inquiry,Low,Closed,4.0
136,541,2024-10-30,Refund Request,High,Closed,25.4
137,1613,2025-05-04,Refund Request,High,Closed,4.9
138,3190,2025-03-15,Shipping Delay,Low,Closed,9.5
139,3940,2025-06-01,Refund Request,Medium,Resolved,59.9
140,401,2025-02-27,Refund Request,Low,Closed,37.1
141,292,2024-12-24,Shipping Delay,Low,Open,4.4
142,765,2024-09-15,Product Issue,High,Resolved,21.5
143,3765,2025-05-23,Shipping Delay,Medium,Closed,6.2
144,1913,2025-05-12,Account Problem,Medium,Closed,31.3
145,2352,2025-03-01,Shipping Delay,High,Closed,9.2
146,908,2025-05-13,Shipping Delay,Critical,Closed,11.2
147,4459,2025-07-06,General Inquiry,Medium,Resolved,6.4
148,4268,2025-04-16,General Inquiry,Low,Open,32.2
149,1257,2024-12-27,Account Problem,Medium,Closed,39.4
150,4870,2024-11-07,Refund Request,Low,Closed,9.1
151,1064,2025-05-27,Account Problem,Medium,Closed,59.9
152,3663,2025-06-08,Account Problem,Low,Closed,13.0
153,3189,2024-11-22,Refund Request,Critical,Resolved,36.1
154,1735,2024-10-26,Refund Request,Low,Resolved,47.1
155,3308,2025-07-08,Account Problem,Medium,Closed,7.4
156,1321,2025-03-29,Account Problem,Critical,In Progress,0.1
157,4659,2025-02-08,Shipping Delay,Low,Resolved,76.5
158,3419,2025-04-23,General Inquiry,Medium,Open,14.4
159,1817,2024-09-06,Account Problem,Low,Open,48.3
160,2938,2024-11-14,Product Issue,Low,Resolved,1.5
161,4015,2025-03-25,Refund Request,Low,Resolved,14.9
162,4370,2025-06-01,Account Problem,Low,Closed,10.6
163,1354,2025-08-02,Product Issue,Critical,Closed,3.2
164,4098,2025-02-12,Refund Request,Medium,Closed,53.0
165,1682,2025-05-28,Refund Request,Medium,In Progress,50.6
166,3898,2025-06-08,General Inquiry,Low,Closed,8.3
167,2743,2025-06-17,Account Problem,Medium,Resolved,8.7
168,1545,2025-02-24,Shipping Delay,Low,Closed,67.7
169,1030,2024-11-03,General Inquiry,High,Resolved,26.7
170,4355,2024-11-15,Product Issue,Low,Closed,72.9
171,681,2025-03-04,General Inquiry,Low,Resolved,7.4
172,1427,2024-08-18,Refund Request,High,Resolved,15.1
173,2447,2025-07-19,Product Issue,High,Resolved,38.1
174,2484,2024-08-28,General Inquiry,High,Closed,10.2
175,794,2024-11-23,Shipping Delay,Medium,Resolved,28.4
176,4021,2025-08-03,Refund Request,Medium,Resolved,4.4
177,575,2024-09-21,Shipping Delay,Medium,Open,55.4
178,807,2024-11-24,General Inquiry,Low,Closed,6.2
179,2897,2025-05-03,Product Issue,Low,Resolved,6.7
180,3482,2025-06-28,Account Problem,High,Closed,103.4
181,317,2024-10-31,Account Problem,Low,Closed,21.8
182,177,2024-10-20,Account Problem,Medium,Closed,1.8
183,2925,2025-04-27,Product Issue,Low,Closed,8.9
184,4591,2025-08-04,Shipping Delay,Low,Closed,2.6
185,4489,2025-08-01,Refund Request,Medium,Resolved,77.6
186,2300,2025-06-13,Refund Request,High,In Progress,46.2
187,2698,2025-05-13,General Inquiry,High,Closed,0.9
188,3523,2025-01-26,Shipping Delay,Low,In Progress,30.2
189,3307,2025-05-27,General Inquiry,Critical,Resolved,5.3
190,557,2025-05-10,Account Problem,High,In Progress,15.8
191,2047,2025-04-24,Shipping Delay,High,In Progress,34.2
192,4594,2025-08-17,General Inquiry,Medium,Open,2.5
193,4575,2025-04-11,Product Issue,Medium,Resolved,51.8
194,1446,2025-07-27,Shipping Delay,Low,Open,0.6
195,1162,2024-12-16,Account Problem,Critical,Open,37.7
196,480,2025-04-20,Refund Request,Medium,Resolved,29.2
197,4565,2024-12-11,Account Problem,Medium,Closed,79.0
198,17,2024-10-03,Refund Request,Medium,Open,33.1
199,1035,2025-06-17,Product Issue,Low,Closed,8.3
200,4945,2024-08-20,Refund Request,Low,Resolved,12.0
201,3703,2025-07-02,Shipping Delay,High,Closed,34.1
202,4397,2024-11-27,Shipping Delay,Low,Closed,38.3
203,30,2025-06-10,General Inquiry,Low,Closed,3.8
204,445,2024-10-07,Product Issue,High,Resolved,40.0
205,817,2024-11-04,Shipping Delay,Low,In Progress,29.8
206,1235,2025-06-29,General Inquiry,High,Closed,12.5
207,2599,2024-10-10,Shipping Delay,Low,Resolved,8.1
208,2067,2025-08-13,Account Problem,Low,Resolved,9.9
209,1512,2024-08-22,Shipping Delay,Low,Open,22.6
210,445,2024-08-30,General Inquiry,Low,Closed,39.4
211,4529,2025-07-30,Account Problem,Low,Closed,13.0
212,591,2025-05-14,Shipping Delay,Medium,Resolved,38.0
213,2999,2025-07-21,General Inquiry,Low,Closed,33.6
214,1367,2025-05-09,General Inquiry,Medium,In Progress,33.3
215,2543,2025-03-19,Account Problem,High,Resolved,0.1
216,1142,2025-01-14,Refund Request,Low,Closed,15.6
217,2423,2025-01-05,Shipping Delay,High,Closed,68.6
218,3410,2025-03-17,Refund Request,Medium,Closed,1.5
219,980,2025-01-09,Shipping Delay,High,Resolved,27.2
220,3020,2024-10-23,Shipping Delay,High,Resolved,22.0
221,653,2025-05-14,General Inquiry,Low,Closed,6.6
222,1784,2025-08-04,Product Issue,Low,Resolved,10.3
223,4829,2025-05-13,Product Issue,High,Closed,24.1
224,1098,2024-10-29,Account Problem,High,Resolved,31.3
225,4544,2025-08-16,Account Problem,Medium,Resolved,12.7
226,3835,2024-11-11,Product Issue,High,Resolved,24.6
227,3376,2024-11-25,Account Problem,Low,Closed,8.1
228,1740,2025-03-23,Refund Request,High,In Progress,2.9
229,3140,2025-02-21,General Inquiry,High,Open,30.4
230,3902,2025-03-08,Refund Request,Low,Closed,5.9
231,1166,2024-09-12,Product Issue,Low,In Progress,22.1
232,258,2025-04-13,General Inquiry,Low,Resolved,21.3
233,2400,2024-11-13,General Inquiry,High,Resolved,38.5
234,3614,2024-12-10,General Inquiry,Medium,Resolved,4.6
235,2725,2025-07-16,Account Problem,Medium,Resolved,3.9
236,4862,2024-10-20,Shipping Delay,Medium,Open,35.8
237,2210,2025-07-31,Product Issue,Low,Resolved,5.7
238,582,2024-09-22,Product Issue,Low,Closed,83.5
239,2696,2024-09-10,General Inquiry,Medium,Closed,50.4
240,441,2025-08-01,Shipping Delay,Low,Closed,21.4
241,2848,2024-12-05,General Inquiry,Low,Resolved,4.9
242,3766,2025-02-03,Refund Request,Medium,Resolved,10.6
243,2260,2025-04-24,Refund Request,Low,Open,59.3
244,1077,2024-12-04,Account Problem,Medium,Closed,1.1
245,4010,2025-01-18,Product Issue,Low,Resolved,45.4
246,4505,2025-02-15,Refund Request,Low,In Progress,6.3
247,4788,2024-12-17,General Inquiry,Medium,Resolved,3.8
248,1472,2025-07-16,Refund Request,Medium,In Progress,128.6
249,3579,2025-07-31,Refund Request,Low,Resolved,112.7
250,2512,2025-02-21,Account Problem,Low,In Progress,19.9
251,3601,2024-11-10,Product Issue,Low,Closed,32.3
252,1019,2024-10-21,Shipping Delay,High,Resolved,142.8
253,3543,2025-05-16,Account Problem,Medium,In Progress,9.8
254,2029,2024-12-17,Product Issue,Low,Resolved,2.2
255,4672,2024-09-18,Refund Request,High,Resolved,30.3
256,3230,2025-05-19,Account Problem,Low,Closed,5.9
257,807,2025-04-17,General Inquiry,Critical,Closed,10.8
258,4654,2024-11-22,General Inquiry,Medium,Resolved,16.5
259,3529,2024-09-28,Refund Request,Low,Resolved,14.9
260,4256,2024-12-24,Account Problem,Low,Closed,9.6
261,1117,2025-07-25,Refund Request,Critical,Resolved,51.0
262,1402,2025-01-27,Shipping Delay,Low,Closed,7.6
263,287,2024-09-13,General Inquiry,Medium,Closed,53.9
264,1793,2025-02-10,Shipping Delay,Medium,Closed,4.7
265,4093,2025-08-12,Refund Request,High,In Progress,5.4
266,495,2024-10-29,General Inquiry,High,Resolved,81.0
267,4720,2025-07-18,Refund Request,Medium,Resolved,9.6
268,2032,2024-09-19,Refund Request,Low,Closed,10.7
269,205,2024-10-24,Shipping Delay,Low,Resolved,4.4
270,3288,2024-12-03,General Inquiry,Medium,Closed,0.9
271,2345,2024-11-12,Shipping Delay,High,Resolved,8.8
272,4351,2024-10-14,Refund Request,High,In Progress,6.2
273,4905,2024-09-30,Product Issue,Medium,In Progress,39.3
274,4355,2025-05-27,Account Problem,Low,Resolved,20.2
275,3069,2025-03-30,General Inquiry,Low,Resolved,43.6
276,1223,2025-02-10,Shipping Delay,High,Resolved,37.5
277,3336,2025-03-27,Refund Request,Medium,Closed,1.1
278,2588,2024-10-15,Product Issue,Low,Closed,5.2
279,2398,2024-11-23,General Inquiry,Low,Resolved,29.3
280,2836,2025-02-16,Account Problem,Low,Resolved,26.3
281,3999,2025-06-27,Refund Request,Low,In Progress,3.3
282,3236,2025-05-14,Account Problem,Medium,Resolved,0.6
283,1238,2025-05-15,Product Issue,Low,Open,3.7
284,2475,2025-01-18,Shipping Delay,Medium,Closed,22.0
285,2056,2024-09-30,General Inquiry,Low,Closed,22.4
286,1473,2025-02-12,Account Problem,Medium,Resolved,85.8
287,4316,2024-12-01,Product Issue,Low,Closed,5.6
288,4216,2024-09-04,General Inquiry,Low,Closed,16.4
289,2141,2024-11-13,General Inquiry,Low,Closed,22.4
290,4859,2024-12-22,Product Issue,High,Resolved,10.8
291,3912,2025-04-21,General Inquiry,Medium,Open,6.4
292,3345,2025-05-20,Shipping Delay,High,In Progress,93.6
293,1691,2024-11-04,Shipping Delay,Medium,In Progress,7.1
294,2,2025-05-18,Shipping Delay,Low,Closed,7.6
295,4700,2024-08-31,Account Problem,Low,In Progress,1.8
296,1677,2024-09-01,Refund Request,High,Closed,13.9
297,329,2025-06-11,Product Issue,High,Resolved,0.7
298,2583,2024-12-24,General Inquiry,Low,Resolved,15.6
299,3525,2025-08-05,Product Issue,High,Closed,24.9
300,4389,2025-01-12,Refund Request,Low,In Progress,12.1
301,242,2025-03-07,Refund Request,Medium,Resolved,74.0
302,3440,2024-11-30,Product Issue,High,Resolved,14.9
303,2143,2024-10-04,Shipping Delay,Medium,In Progress,1.2
304,1162,2025-07-15,Account Problem,Low,Closed,10.6
305,1555,2025-02-07,Account Problem,High,In Progress,13.5
306,3862,2024-10-16,General Inquiry,Medium,Closed,9.2
307,2938,2025-02-23,Shipping Delay,Critical,Resolved,145.4
308,827,2024-11-06,Account Problem,Low,Closed,0.8
309,247,2024-11-30,Account Problem,Critical,In Progress,28.0
310,252,2024-09-07,Shipping Delay,High,In Progress,9.6
311,2792,2025-01-15,Refund Request,Low,In Progress,64.9
312,56,2025-03-24,General Inquiry,Low,In Progress,2.0
313,49,2025-07-07,Account Problem,Low,In Progress,17.9
314,625,2025-08-03,Shipping Delay,Medium,Resolved,15.9
315,3879,2025-02-23,Account Problem,Critical,Closed,48.2
316,2080,2025-06-27,General Inquiry,Low,Closed,57.1
317,3474,2024-12-23,Refund Request,Low,Closed,5.2
318,2916,2024-11-27,Product Issue,Medium,In Progress,28.4
319,4502,2024-10-01,Product Issue,High,Closed,20.1
320,4975,2024-11-13,Product Issue,High,Closed,16.7
321,1199,2025-06-13,Refund Request,High,Open,1.9
322,3023,2024-10-26,Shipping Delay,Low,Resolved,11.5
323,3767,2025-01-13,Shipping Delay,High,Closed,30.3
324,3001,2024-10-31,Account Problem,High,Resolved,69.9
325,4758,2025-05-23,Account Problem,Medium,Closed,2.8
326,481,2025-05-19,Refund Request,Low,Closed,16.0
327,4590,2024-08-19,Shipping Delay,Medium,Open,29.3
328,3728,2025-08-06,Refund Request,Critical,Closed,14.1
329,295,2025-07-14,Refund Request,Medium,Resolved,0.8
330,4015,2025-07-16,Refund Request,High,In Progress,14.2
331,2876,2025-05-03,Product Issue,Medium,Resolved,36.9
332,1705,2025-08-15,General Inquiry,High,Closed,3.8
333,454,2024-09-25,Shipping Delay,High,Resolved,72.4
334,3646,2025-06-25,Account Problem,Medium,Resolved,6.6
335,4876,2025-06-19,Shipping Delay,Low,Resolved,3.6
336,1684,2025-07-06,Account Problem,Low,Resolved,26.7
337,832,2024-12-19,Account Problem,Medium,Open,8.6
338,4882,2025-08-12,Shipping Delay,Low,Closed,35.6
339,505,2024-09-07,General Inquiry,Low,Closed,24.8
340,2191,2025-08-05,Account Problem,Low,Closed,9.4
341,1063,2025-03-19,Shipping Delay,Low,Closed,14.7
342,2332,2025-04-22,General Inquiry,Medium,In Progress,32.8
343,2710,2025-06-05,General Inquiry,High,Resolved,41.5
344,1150,2025-03-29,Refund Request,Critical,Resolved,10.7
345,2765,2024-10-07,General Inquiry,Medium,In Progress,48.8
346,2947,2024-10-07,Shipping Delay,Low,Open,38.8
347,1963,2025-04-12,Product Issue,Medium,Closed,20.8
348,4904,2025-02-28,Product Issue,Low,Resolved,9.2
349,4199,2024-11-03,Refund Request,Low,In Progress,48.3
350,2837,2024-09-03,Refund Request,High,Resolved,16.0
351,1840,2025-04-03,Shipping Delay,Medium,Resolved,12.8
352,3754,2024-10-14,Refund Request,Medium,Closed,1.7
353,2132,2024-10-12,Product Issue,Medium,Resolved,8.9
354,820,2024-09-15,Shipping Delay,Low,In Progress,42.5
355,1847,2025-06-09,Shipping Delay,Low,Open,3.3
356,2984,2024-11-12,General Inquiry,Low,Closed,23.0
357,2910,2024-11-05,Product Issue,Low,In Progress,34.1
358,2795,2025-07-24,Product Issue,Low,In Progress,17.0
359,2215,2025-02-13,Product Issue,Low,Closed,1.5
360,582,2024-08-28,Account Problem,High,Resolved,4.7
361,4270,2024-11-23,Refund Request,Medium,Resolved,79.2
362,691,2025-05-03,Refund Request,Medium,Closed,113.2
363,4494,2024-12-20,General Inquiry,Medium,Closed,5.5
364,1906,2025-06-19,Product Issue,High,In Progress,22.4
365,695,2025-05-15,Product Issue,Medium,Closed,22.1
366,1680,2024-09-02,Account Problem,Low,Resolved,10.5
367,393,2024-11-09,Product Issue,Medium,Closed,37.0
368,767,2025-04-25,General Inquiry,Low,In Progress,152.3
369,4594,2025-03-04,Shipping Delay,Low,In Progress,4.0
370,4411,2025-01-23,Account Problem,Medium,Closed,55.6
371,4577,2024-08-23,Refund Request,Low,Resolved,86.9
372,100,2025-02-25,General Inquiry,Medium,Resolved,39.3
373,4023,2024-10-19,Account Problem,Low,Resolved,2.5
374,3000,2025-04-14,Account Problem,High,Resolved,8.3
375,699,2024-12-11,Refund Request,Medium,Open,21.8
376,1060,2024-10-31,General Inquiry,Low,Closed,18.5
377,3644,2024-08-30,General Inquiry,Low,Closed,75.1
378,2727,2025-01-23,Refund Request,Low,Resolved,44.6
379,1905,2024-10-10,Account Problem,Medium,In Progress,49.8
380,2154,2025-02-28,General Inquiry,Medium,Resolved,61.0
381,647,2025-02-10,Account Problem,Critical,In Progress,3.2
382,3252,2024-10-28,Shipping Delay,Low,Resolved,12.3
383,2367,2025-06-12,Product Issue,Medium,Open,47.5
384,684,2024-12-01,Shipping Delay,Low,In Progress,8.8
385,1886,2024-12-25,General Inquiry,Low,Resolved,36.5
386,1048,2024-10-03,Shipping Delay,Medium,Open,6.1
387,4830,2024-10-09,Shipping Delay,Low,Closed,21.7
388,1375,2025-03-27,Shipping Delay,Low,Resolved,56.6
389,1215,2025-01-07,Product Issue,High,Open,9.4
390,2731,2025-07-03,Shipping Delay,High,Resolved,4.2
391,2032,2024-10-01,Account Problem,Low,Closed,12.2
392,47,2025-04-12,General Inquiry,Medium,Closed,2.0
393,1102,2025-02-04,Product Issue,Low,Resolved,3.2
394,328,2025-05-05,Product Issue,Medium,Closed,43.2
395,3769,2025-05-09,Refund Request,High,In Progress,35.0
396,4183,2024-10-12,General Inquiry,Low,Resolved,18.7
397,4646,2025-03-13,Product Issue,Low,Closed,2.0
398,4258,2025-05-28,Product Issue,Medium,Closed,14.4
399,342,2024-12-25,General Inquiry,Low,Closed,27.7
400,2656,2024-12-24,Shipping Delay,Low,Closed,8.7
401,273,2025-03-15,Refund Request,Low,Closed,23.7
402,2512,2025-01-12,Shipping Delay,High,In Progress,17.4
403,4296,2025-02-26,Account Problem,Medium,Resolved,1.2
404,1098,2025-04-16,Refund Request,Low,Resolved,12.5
405,2144,2025-05-23,General Inquiry,Medium,Open,41.1
406,4104,2024-11-18,Refund Request,High,In Progress,2.6
407,2908,2024-10-02,Account Problem,Low,Closed,63.2
408,2665,2025-01-11,General Inquiry,Low,Closed,43.8
409,785,2025-08-03,Account Problem,Medium,Closed,9.8
410,572,2025-07-22,Refund Request,Medium,Closed,8.2
411,2702,2024-09-01,Shipping Delay,High,Closed,34.9
412,1349,2025-04-24,Account Problem,Low,Open,36.4
413,3751,2024-10-15,Product Issue,Medium,Resolved,26.9
414,4607,2025-02-16,Product Issue,Critical,Open,7.8
415,2181,2025-03-04,Shipping Delay,High,Resolved,22.6
416,2077,2025-01-29,Product Issue,High,Resolved,39.8
417,1759,2024-11-01,General Inquiry,High,Resolved,35.1
418,2036,2025-05-27,General Inquiry,Low,Closed,6.3
419,1312,2025-05-22,Refund Request,Medium,Closed,19.7
420,1429,2024-12-09,General Inquiry,Medium,Closed,23.7
421,900,2025-03-12,Refund Request,High,Resolved,12.7
422,4520,2025-08-11,Product Issue,High,Resolved,38.0
423,930,2025-02-04,General Inquiry,Medium,Closed,53.1
424,3521,2025-06-29,Refund Request,Low,Closed,30.5
425,3990,2025-01-26,Product Issue,Low,Closed,39.6
426,4371,2025-06-15,Product Issue,Medium,Closed,18.5
427,886,2025-07-24,Product Issue,Low,Closed,17.6
428,4349,2025-01-04,General Inquiry,Low,Open,18.4
429,724,2025-05-23,Refund Request,Medium,Resolved,84.3
430,4415,2025-01-16,Shipping Delay,Medium,Open,17.3
431,490,2025-08-07,Account Problem,Low,In Progress,8.0
432,4886,2025-06-02,Product Issue,Critical,In Progress,10.7
433,2760,2024-09-23,Product Issue,High,Resolved,1.0
434,527,2024-10-07,Refund Request,Medium,Closed,0.9
435,84,2025-03-10,Refund Request,Medium,In Progress,32.2
436,1579,2025-07-09,General Inquiry,Medium,Resolved,51.5
437,1334,2024-09-07,General Inquiry,High,Resolved,3.1
438,3565,2025-08-14,General Inquiry,High,Resolved,21.7
439,1672,2025-01-22,Shipping Delay,Medium,Resolved,9.4
440,1273,2025-04-09,Shipping Delay,High,Resolved,11.8
441,2830,2025-07-09,Shipping Delay,Critical,Resolved,0.2
442,3011,2025-07-30,Account Problem,Critical,In Progress,27.0
443,3363,2024-12-30,Refund Request,High,Closed,10.8
444,1612,2025-08-13,Refund Request,Low,Closed,7.2
445,2423,2024-12-18,General Inquiry,High,Resolved,13.2
446,2789,2025-06-17,Shipping Delay,Medium,Closed,4.6
447,3590,2025-06-13,Product Issue,Low,In Progress,6.5
448,1752,2024-10-17,Product Issue,Low,Closed,12.1
449,1346,2025-07-25,Shipping Delay,High,Closed,22.3
450,1108,2024-10-04,Product Issue,High,Closed,12.7
451,2746,2024-09-26,Refund Request,Medium,Closed,34.7
452,1332,2024-08-30,Product Issue,Medium,Closed,64.4
453,2140,2025-05-14,General Inquiry,Low,In Progress,37.4
454,2721,2025-07-02,General Inquiry,Medium,In Progress,21.0
455,846,2025-04-05,General Inquiry,Medium,Closed,56.1
456,193,2025-06-08,Product Issue,Medium,Resolved,20.7
457,161,2024-12-23,Account Problem,Low,Closed,50.7
458,1808,2024-11-07,Product Issue,Critical,Resolved,4.2
459,2761,2024-09-16,General Inquiry,Low,Resolved,10.0
460,129,2025-01-18,Account Problem,Medium,Closed,11.2
461,2635,2025-07-15,Shipping Delay,Low,Resolved,5.5
462,4454,2024-09-28,Account Problem,High,In Progress,15.8
463,3265,2024-12-24,Account Problem,Medium,Closed,7.6
464,1734,2025-01-12,General Inquiry,Medium,Closed,20.7
